[#trials, time, success_boolean]
--------------------------------------------
A_1: [5, 1038]
A_2: [3, 898]
A_3: [3, 1084]
A_4: [5, 998]
A_5: [2, 890]
A_7: [3, 1013]
A_10: [3, 847]
A_11: [3, 903]
A_12: [8, 1837]
A_13: [3, 889]
A_14: [3, 1077]
A_16: [6, 1495]
A_17: [9, 1208]
A_18: [3, 904]
A_19: [3, 905]
A_20: [3, 977]
A_21: [5, 1094]
--------------------------------------------
B_1: [3, 388]
B_2: [5, 748]
B_3: [3, 337]
B_5: [17, 2104]
B_7: [3, 402]
B_8: [5, 824]
B_9: [6, 1071]
B_10: [16, 1581]
B_12: [4, 604]
B_13: [3, 373]
B_15: [4, 526]
--------------------------------------------
A_2_cluster1: [11, 1344]
A_5_cluster1: [3, 1138]
A_6_cluster1: [5, 1204]
--------------------------------------------
